ano,regiao,uf,cod_municipio,municipio,dependencia,escolaridade,num_docentes,perc_rais,remuneracao_q1,remuneracao_mediana,remuneracao_media,remuneracao_q3,remuneracao_desvio_padrao,carga_horaria_media,remuneracao_40h
2020,Norte,RO,1100015.0,Alta Floresta D'Oeste,Municipal,Total,154.0,97.4026,1755.5,2948.59,2579.129,3236.12,753.4075,32.53857,3170.55
2020,Norte,RO,1100015.0,Alta Floresta D'Oeste,Municipal,Superior,147.0,97.27891,1735.31,2947.64,2573.739,3236.55,761.4847,32.37907,3179.509
2020,Norte,RO,1100015.0,Alta Floresta D'Oeste,Municipal,Sem Superior,7.0,100.0,1853.19,2965.25,2686.449,2980.05,558.4783,35.71429,3008.822
2020,Norte,RO,1100023.0,Ariquemes,Municipal,Total,440.0,100.0,3039.32,4089.41,3953.546,4514.49,1204.054,34.27016,4614.564
2020,Norte,RO,1100023.0,Ariquemes,Municipal,Superior,433.0,100.0,3024.01,4089.41,3951.426,4514.49,1206.349,34.18491,4623.591
2020,Norte,RO,1100023.0,Ariquemes,Municipal,Sem Superior,7.0,100.0,3039.45,4409.84,4096.077,4789.65,1028.258,40.0,4096.077
2020,Norte,RO,1100031.0,Cabixi,Municipal,Total,42.0,85.71429,2297.7,3652.39,3246.099,4128.84,1065.182,37.36478,3475.036
2020,Norte,RO,1100031.0,Cabixi,Municipal,Superior,42.0,85.71429,2297.7,3652.39,3246.099,4128.84,1065.182,37.36478,3475.036
2020,Norte,RO,1100049.0,Cacoal,Municipal,Total,239.0,98.74477,3973.17,4324.8,4822.473,5698.95,1343.694,37.59162,5131.433
2020,Norte,RO,1100049.0,Cacoal,Municipal,Superior,226.0,99.11504,3992.92,4367.66,4841.853,5782.67,1357.253,37.55237,5157.441
2020,Norte,RO,1100049.0,Cacoal,Municipal,Sem Superior,13.0,92.30769,3896.63,3980.795,4456.261,4814.86,986.0515,38.33333,4650.011
2020,Norte,RO,1100056.0,Cerejeiras,Municipal,Total,87.0,91.95402,3930.35,4314.66,4401.998,4915.57,968.1525,39.13442,4499.362
2020,Norte,RO,1100056.0,Cerejeiras,Municipal,Superior,86.0,91.86047,3930.35,4304.29,4398.025,4999.86,973.7438,39.12325,4496.584
2020,Norte,RO,1100072.0,Corumbiara,Municipal,Total,38.0,86.84211,4551.3,4809.15,4891.15,5264.17,493.7498,44.0,4446.5
2020,Norte,RO,1100072.0,Corumbiara,Municipal,Superior,35.0,85.71429,4551.3,4846.145,4891.607,5264.17,493.2169,44.0,4446.916
2020,Norte,RO,1100080.0,Costa Marques,Municipal,Total,102.0,91.17647,3433.6,3699.125,3545.542,3883.36,654.6664,37.44681,3787.284
2020,Norte,RO,1100080.0,Costa Marques,Municipal,Superior,70.0,87.14286,3430.12,3755.895,3499.955,3897.99,785.5762,37.09677,3773.865
2020,Norte,RO,1100080.0,Costa Marques,Municipal,Sem Superior,32.0,100.0,3433.6,3559.34,3633.867,3810.81,226.8496,38.125,3812.582
2020,Norte,RO,1100098.0,Espigão D'Oeste,Municipal,Total,109.0,100.0,3147.97,3376.93,3861.922,4687.86,1063.215,27.98332,5520.319
2020,Norte,RO,1100098.0,Espigão D'Oeste,Municipal,Superior,107.0,100.0,3084.72,3376.93,3850.944,4687.86,1056.884,28.03202,5495.065
2020,Norte,RO,1100106.0,Guajará-Mirim,Municipal,Total,165.0,99.39394,2739.72,4098.91,3958.444,5026.08,1306.036,36.17313,4377.221
2020,Norte,RO,1100106.0,Guajará-Mirim,Municipal,Superior,149.0,99.32886,2892.79,4124.31,4030.318,5107.18,1294.891,36.33319,4437.066
2020,Norte,RO,1100106.0,Guajará-Mirim,Municipal,Sem Superior,16.0,100.0,2040.8,2500.61,3281.967,4488.5,1213.386,34.66667,3786.885
2020,Norte,RO,1100114.0,Jaru,Municipal,Total,240.0,97.91667,1792.96,2542.4,2555.453,2727.29,999.7321,23.94894,4268.169
2020,Norte,RO,1100114.0,Jaru,Municipal,Superior,237.0,97.8903,1792.96,2564.125,2565.471,2727.29,1001.414,23.99612,4276.477
2020,Norte,RO,1100122.0,Ji-Paraná,Municipal,Total,385.0,99.48052,2816.355,3420.47,3631.074,4395.51,979.0225,32.64732,4448.849
2020,Norte,RO,1100122.0,Ji-Paraná,Municipal,Superior,374.0,99.46524,2820.99,3526.045,3654.53,4471.3,981.4426,32.59555,4484.698
